| Run on Fri Aug 28 18:55:55 2026
|
|gmx_MMPBSA Version=v1.5.0.3 based on MMPBSA.py v.16.0
|Complex Structure file:                /home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/results/md_systems/set_c_preparation_20260812_v1/PP-01_PfDHFR_I164L/runs/20260825T063226Z/replicate_1/production.tpr
|Complex (GROMACS) topology file:       /home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/results/md_systems/set_c_preparation_20260812_v1/PP-01_PfDHFR_I164L/runs/20260825T063226Z/replicate_1/topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-1093"
|Ligand mask:                    ":1094"
|Ligand residue name is:         "MOL0"
|
|Calculations performed using 100 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K)
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                 223189.33    2182617.51 2182617.51    218261.75  218261.75
ANGLE                  8946.48        102.82     102.82        10.28      10.28
DIHED                 11794.62         41.46      41.46         4.15       4.15
UB                    21423.01     201070.62  201070.62     20107.06   20107.06
IMP                     618.71         33.68      33.68         3.37       3.37
CMAP                   -567.81         22.36      22.36         2.24       2.24
VDWAALS               -8267.20         42.45      42.45         4.24       4.24
EEL                  -72244.42        247.55     247.55        24.75      24.75
1-4 VDW                3745.55         25.69      25.69         2.57       2.57
1-4 EEL               48332.51         98.54      98.54         9.85       9.85
EGB                  -13357.58        188.40     188.40        18.84      18.84
ESURF                   413.22          3.67       3.67         0.37       0.37

GGAS                 236970.78    2191859.63 2383817.66    219185.96  238381.77
GSOLV                -12944.36        188.43     186.69        18.84      18.67

TOTAL                224026.42    2191859.64 2383784.53    219185.96  238378.45

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                 223177.13    2182618.11 2182618.11    218261.81  218261.81
ANGLE                  8928.95        103.12     103.12        10.31      10.31
DIHED                 11775.72         41.61      41.61         4.16       4.16
UB                    21423.01     201070.62  201070.62     20107.06   20107.06
IMP                     618.71         33.68      33.68         3.37       3.37
CMAP                   -567.81         22.36      22.36         2.24       2.24
VDWAALS               -8233.69         42.31      42.31         4.23       4.23
EEL                  -72311.11        248.19     248.19        24.82      24.82
1-4 VDW                3712.70         25.60      25.60         2.56       2.56
1-4 EEL               48542.48         98.46      98.46         9.85       9.85
EGB                  -13354.90        189.38     189.38        18.94      18.94
ESURF                   414.05          3.71       3.71         0.37       0.37

GGAS                 237066.09    2191860.23 2383818.42    219186.02  238381.84
GSOLV                -12940.85        189.42     187.63        18.94      18.76

TOTAL                224125.24    2191860.24 2383785.28    219186.02  238378.53

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     12.21          3.10       3.10         0.31       0.31
ANGLE                    17.53          3.63       3.63         0.36       0.36
DIHED                    18.90          4.21       4.21         0.42       0.42
UB                        0.00          0.00       0.00         0.00       0.00
IMP                       0.00          0.00       0.00         0.00       0.00
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                   0.15          1.55       1.55         0.15       0.15
EEL                      69.43          1.75       1.75         0.18       0.18
1-4 VDW                  32.85          2.13       2.13         0.21       0.21
1-4 EEL                -209.96          2.28       2.28         0.23       0.23
EGB                     -18.57          1.94       1.94         0.19       0.19
ESURF                     3.27          0.02       0.02         0.00       0.00

GGAS                    -58.91          7.46       5.42         0.75       0.54
GSOLV                   -15.30          1.94       1.93         0.19       0.19

TOTAL                   -74.21          7.71       4.79         0.77       0.48

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          2.50       0.00         0.25       0.00
ΔANGLE                   -0.00          3.32       0.00         0.33       0.00
ΔDIHED                    0.00          4.06       0.00         0.41       0.00
ΔUB                       0.00          0.00       0.00         0.00       0.00
ΔIMP                      0.00          0.00       0.00         0.00       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                -33.66          1.41       3.38         0.14       0.34
ΔEEL                     -2.74          1.11       4.43         0.11       0.44
Δ1-4 VDW                 -0.00          2.05       0.00         0.20       0.00
Δ1-4 EEL                 -0.00          2.20       0.00         0.22       0.00
ΔEGB                     15.89          0.95       4.29         0.10       0.43
ΔESURF                   -4.10          0.02       0.40         0.00       0.04

ΔGGAS                   -36.40          1.79       5.76         0.18       0.58
ΔGSOLV                   11.79          0.95       4.22         0.10       0.42

ΔTOTAL                  -24.60          2.03       2.82         0.20       0.28
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
