smiles,max_tanimoto,novel
CCC=C=C1CN=CN(C2=C(Cl)C(Cl)=C2)N(C)OCCN1,1.0,False
[B-]1=CNC=NC=NC=CC=COC1,1.0,False
CC1(Cl)C2=CNCN=C1C1=CC=[S-]C=C1N2NCC#[O+],1.0,False
C=CC(NCON)C(=CC=CC)N=CNC=CC=CCl,1.0,False
CCC1=C(Cl)C(Cl)=C=CN1N1N=C(NCCO)C2=CC1=C2,1.0,False
Cc1ccc(F)c(CNC2CCCC(O)C2)c1,1.0,False
CC(CNC=CN=CCF)OCCC=NC=CC=CCCNC1NN(CCO)Cc2ccccc21,1.0,False
CCN1OCCNC=CC=CCN=CNC1C=CCl,1.0,False
OCCNC=NC(=NP1=C=CC=CC=1)Nc1ccc(Cl)c(Cl)c1,1.0,False
OCCNC1=NC(N=C[S-]=Nc2ccc(Cl)c(CCl)c2)C=[C+]O1,1.0,False
CN(C)C(=O)c1cc2cccc(O)c2cc1O,1.0,False
OCCNC=NC(=C=Nc1ccccc1)Nc1ccc(Cl)c(Cl)c1,1.0,False
C=C(Cl)CC=CC=CC#CCC(Cl)=CC(=C)Nc1nc(NCCO)c2ccccc2n1,1.0,False
Cc1ccccc1OCCSc1nc2ccc(NC(=O)c3cccs3)cc2s1,1.0,False
CCOC[C@@H](O)COc1ccc2ccc(=O)oc2c1,1.0,False
COc1ccc(-c2nc(NC(=O)c3cc(OC)cc(OC)c3)sc2C)cc1,1.0,False
COc1ccc(-n2ccnc2SCC(=O)Nc2ccccc2OC)cc1,1.0,False
CCOC(=O)c1cnc2c(C)cc(Cl)cc2c1Nc1ccc(C)cc1C,1.0,False
CCN1CCC(N2CCC(C(=O)NCCc3ccc(F)c(F)c3)CC2)CC1,1.0,False
C=CC=CC1CCON2COC3CCCC=NCCOC13C2N1C=CC=C(Cl)C1Cl,1.0,False
C=[S+]1=CC(Cl)=C(CNOc2nc(PNCC)c3ccccc3n2)C1Cl,1.0,False
ClC1=CCN(C2=NC=CCC=C=NC=CC=CN=CCCCCCNCCO2)CC1,1.0,False
COc1ccc(-n2ccnc2SCC(=O)Nc2ccc(C)cc2F)cc1,1.0,False
CCN1C=C(Cl)C(Cl)=C(N=CNCCO)CC2COC21,1.0,False
Cc1ccc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)c(Cl)c1,1.0,False
NC1C=[B-]C2CC1=NCNc1ccc(Cl)c(Cl)c12,1.0,False
CC(N)C(=O)NCCOc1ccc(Cl)cc1Cl,1.0,False
CCOC(=O)c1cnc2c(C)cc(Cl)cc2c1Nc1cccc(C(F)(F)F)c1,1.0,False
CCCC=CC=C1CNC(CO)C(N2C=C(Cl)C(Cl)=CC2)=NC2=C1CCC=N2,1.0,False
COc1ccc(CNC(C)C(O)c2ccccc2)cc1C,1.0,False
CC(C)(C(=O)O)c1cccc(NC(=O)c2cccs2)c1,1.0,False
OCCNC=NC1=Nc2ccccc2NC=CC=C(Cl)C(Cl)=C1,1.0,False
ClC1=COCNC2=NCN(c3ccccc3)NC2=CC=C1,1.0,False
O=C(O)COC(=O)C=Cc1ccc([N+](=O)[O-])cc1,1.0,False
COc1ccc(CN2CCN(Cc3ccccc3)CC2)c(Cl)c1O,1.0,False
C=[S+]C=CC=c1nc(Nc2ccc(Cl)c(Cl)c2)nc(NCCO)c1=C,1.0,False
C=CC=CC(=CC=C(Cl)CC#CN)CN=C(N)CCOc1ccccc1,1.0,False
CC(C)=CCC/C(C)=C/C[NH2+]CCc1c[nH]c2ccccc12,1.0,False
CCCNC(=O)CCCOc1ccc(Cl)cc1Cl,1.0,False
CC1=C(CO)CC(N=C(Cl)Nc2ccc(Cl)cc2)C=C1,1.0,False
CC(C=C=[C+]N=C=N)=CCNC(CCl)CNCCO,1.0,False
CC1=CC=CNC#CC=CC=CCC12N=C(NCCO)c1ccccc12,1.0,False
C[C-]=C=CC=C1CC(NCC)=NC(NC2C=C3C(Cl)=C3CCO2)=N1,1.0,False
OCCN1C=CCC=CN=C(CCl)C(Cl)=CCN1,1.0,False
CCC1=NC=CNCCC(C)NCONC(Nc2ccc(Cl)c(Cl)c2)=NC1[O-],1.0,False
C1=CC(=COCCCC=CC2=CC2)C=NN=1,1.0,False
COc1ccc(-c2oc3cc(OC)cc(O)c3c(=O)c2OC)cc1,1.0,False
COc1cc(OC)c(C=CC(=O)c2cccc(Br)c2)c(OC)c1,1.0,False
COCC=Cc1cc(OC)c(O)c(OC)c1,1.0,False
OC[C-]=CNc1nc(Nc2ccc(Cl)c(Cl)c2)nc2ccccc12,1.0,False
O=C([O-])[C@]1(O)C[C@@H](O)[C@H](O)[C@@H](O)C1,1.0,False
[C+]#C[B-]O,1.0,False
C[C@H](C(=O)Nc1ccccc1Br)n1c(=O)[nH]c2ccccc2c1=O,1.0,False
