drug_id,matched_broad_id,matched_pert_iname,matched_moa,match_score,second_score,margin,above_threshold
00199ff52,BRD-K59998349-003-01-4,aminolevulinic-acid-benzyl-ester,,0.3404443781422408,0.33703618819746745,0.0034081899447733766,False
00251fc41,BRD-K41876534-001-13-7,tioxolone,carbonic anhydrase inhibitor,0.31687865109718744,0.28327261221559125,0.03360603888159619,False
00321ea80,BRD-K97472745-001-01-8,gestrinone,progesterone receptor antagonist,0.4622497657683335,0.380300985686719,0.08194878008161449,False
0034c0847,BRD-K87510569-001-02-8,RS-504393,CC chemokine receptor antagonist,0.39021821160605974,0.3462115674579202,0.04400664414813954,False
0060e686f,BRD-K74065929-001-07-2,doramapimod,p38 MAPK inhibitor,0.4047388250636345,0.3715238165916368,0.03321500847199771,False
00898e82c,BRD-K70505054-003-12-4,ranitidine,histamine receptor antagonist,0.3690451907777328,0.3429546252741833,0.02609056550354949,False
009a5da05,BRD-A91822151-001-05-0,picrotin,GABA receptor antagonist,0.3448860100212868,0.3167382388364893,0.0281477711847975,False
00d2de1d8,BRD-K97440753-066-18-1,dihydroergocristine,"adrenergic receptor antagonist, prolactin inhibitor",0.46622422395977126,0.429936208661559,0.03628801529821224,False
00dba5599,BRD-A40413915-003-01-2,NTNCB,neuropeptide receptor antagonist,0.3435366935159067,0.31886361909860467,0.024673074417302043,False
014d175d7,BRD-K82677201-001-01-6,almitrine,neurotransmitter agonist,0.36929028844390466,0.35274346507933857,0.016546823364566088,False
015a48b37,BRD-K18194590-065-08-0,mephentermine,adrenergic receptor agonist,0.2774523889341561,0.27563221206191496,0.0018201768722411193,False
0166f205e,BRD-A28467416-002-01-0,PKI-179,"mTOR inhibitor, PI3K inhibitor",0.3379092212047446,0.32984430499769435,0.008064916207050243,False
01872549f,BRD-K45033733-001-12-2,famciclovir,DNA polymerase inhibitor,0.37612981095841397,0.31677819789385564,0.05935161306455833,False
018e6eb14,BRD-K02130563-001-11-4,panobinostat,HDAC inhibitor,0.36986238673728444,0.3660269174423135,0.003835469294970917,False
018fbfcdb,BRD-A18233884-003-02-7,bevantolol,adrenergic receptor antagonist,0.3680412007171198,0.32299079747499093,0.04505040324212889,False
01af4c881,BRD-K13810148-311-03-2,givinostat,HDAC inhibitor,0.4517862117161701,0.4287598217188825,0.023026389997287622,False
01b66f497,BRD-K19061412-001-02-4,mubritinib,protein tyrosine kinase inhibitor,0.3596452844191729,0.3412922566630228,0.018353027756150053,False
01ee58f64,BRD-K71125014-001-27-1,sulphadimethoxine,dihydropteroate synthetase inhibitor,0.3525583666926359,0.3172820692400123,0.03527629745262362,False
02084574f,BRD-K05434375-001-06-5,HA-1004,calcium channel blocker,0.3532054454285207,0.3356458679777135,0.017559577450807218,False
0212c63a7,BRD-K15502390-001-20-9,nevirapine,non-nucleoside reverse transcriptase inhibitor,0.36500057598122093,0.35124034566135104,0.013760230319869893,False
0222d944c,BRD-K62685538-001-01-7,triptorelin,gonadotropin releasing factor hormone receptor agonist,0.38431352737329877,0.3269914426430109,0.05732208473028788,False
022f3ae8e,BRD-A64743628-001-01-5,isometheptene-mucate,,0.37103621583677576,0.3102080711810841,0.06082814465569164,False
0233971e0,BRD-K23913458-001-20-7,coumarin,vitamin K antagonist,0.36163224749643197,0.28367293719498926,0.07795931030144271,False
0249e20c4,BRD-K93631643-001-02-4,hordenine,,0.3793119041784393,0.359944446118121,0.01936745806031831,False
025d91250,BRD-K41866823-001-01-3,2-hydroxyethyl-salicylate,,0.41068466547075627,0.3292579329528471,0.08142673251790916,False
026c86906,BRD-A93000692-001-08-1,ciglitazone,PPAR receptor agonist,0.3437284639683693,0.32086452043026864,0.022863943538100673,False
02858eca8,BRD-K44876623-001-03-7,zolpidem,benzodiazepine receptor agonist,0.3448839490884677,0.3296988287364817,0.015185120351985992,False
02ae89796,BRD-K46731503-050-01-8,fesoterodine,acetylcholine receptor antagonist,0.36152358556529635,0.35565766729634907,0.005865918268947279,False
02b14dcc0,BRD-K59110290-238-01-7,fosamprenavir,HIV protease inhibitor,0.32763392769321414,0.30398526827871425,0.023648659414499895,False
031afe482,BRD-K56940914-001-04-2,cresol,,0.37919306376447914,0.3368176812030198,0.04237538256145934,False
032128cc7,BRD-K84663978-003-02-9,trequinsin,phosphodiesterase inhibitor,0.33766151641696945,0.3334025874136383,0.0042589290033311356,False
03478f3f9,BRD-K29458283-001-29-9,chlorambucil,DNA inhibitor,0.34990572504205475,0.32563935856838694,0.02426636647366781,False
035a6a762,BRD-K76406695-001-02-9,CCT128930,AKT inhibitor,0.5037012679859549,0.4321886335203499,0.07151263446560502,True
037888d25,BRD-K95763993-001-19-3,trapidil,PDGFR tyrosine kinase receptor inhibitor,0.35554675630506877,0.3525955262553159,0.00295123004975284,False
0393401cc,BRD-A56085258-001-01-8,LGX818,RAF inhibitor,0.57088518842956,0.4973971633470982,0.07348802508246183,True
03b09563c,BRD-K61567297-001-01-9,resatorvid,toll-like receptor antagonist,0.379657943496234,0.31439056540916827,0.06526737808706573,False
03b81e62e,BRD-A50922295-001-01-3,valganciclovir,DNA synthesis inhibitor,0.3387015195529492,0.32431343589303846,0.014388083659910733,False
03b86deca,BRD-K41104902-001-01-3,GSK2656157,PERK inhibitor,0.33373156953006416,0.30559376140073563,0.028137808129328534,False
0438952f6,BRD-K91336023-003-01-0,mesulergine,dopamine receptor agonist,0.38700048671342974,0.373649563359379,0.013350923354050748,False
043fedc3f,BRD-K69122748-001-10-1,diacerein,interleukin inhibitor,0.3432692776111784,0.3075357020820246,0.03573357552915385,False
0472f88f4,BRD-A90695733-001-07-4,manidipine,calcium channel blocker,0.37803551774985167,0.37574332290953355,0.002292194840318118,False
04765e596,BRD-K24255045-001-05-3,fluoxymesterone,androgen receptor modulator,0.3083111719465489,0.2967431334865218,0.011568038460027075,False
04791bbdf,BRD-K25991633-001-01-9,BMS-649,retinoid receptor agonist,0.3613851608419466,0.347344598304082,0.01404056253786462,False
047d037a9,BRD-K75506300-001-01-6,NPS-2143,calcium receptor antagonist,0.3352476145273312,0.32704314094887504,0.008204473578456162,False
04f5356dc,BRD-K97045029-001-04-3,pranlukast,leukotriene receptor antagonist,0.28600102670038013,0.2640109866264792,0.02199004007390093,False
04fdc0c19,BRD-K44844162-001-01-6,taselisib,PI3K inhibitor,0.6611854184182586,0.5596242016361475,0.10156121678211116,True
050116d56,BRD-K70463136-001-01-5,BAY-87-2243,hypoxia inducible factor inhibitor,0.4919548953724282,0.3739860333753057,0.11796886199712248,False
051a078dd,BRD-K88789588-001-14-9,letrozole,aromatase inhibitor,0.3728088111105907,0.3273745257236821,0.045434285386908635,False
053b1881a,BRD-K33277808-331-01-3,ouabain,ATPase inhibitor,0.356423332493185,0.30631280270615807,0.0501105297870269,False
053bd4f4a,BRD-K55013654-003-02-3,lorcaserin,serotonin receptor agonist,0.36304571872936275,0.28789646398800406,0.0751492547413587,False
053ebdb54,BRD-K19939891-001-05-4,TIC10,"AKT inhibitor, TRAIL modulator",0.3980594580501469,0.3243318981539013,0.07372755989624563,False
