drug_id,matched_sig_id,matched_cell_id,matched_pert_id,matched_pert_iname,match_score,second_score,margin,above_threshold
00199ff52,DOS056_MCF7_24H:BRD-K38586507-001-01-5:5,MCF7,BRD-K38586507,BRD-K38586507,0.16216925422246675,0.15546567674306852,0.006703577479398232,False
00251fc41,DOS058_A375_24H:BRD-K99188848-019-01-6:5,A375,BRD-K99188848,BRD-K99188848,0.16963905925472755,0.16959833879342442,4.0720461303128674e-05,False
00321ea80,CPC016_A375_6H:BRD-K83508485-001-01-9:10,A375,BRD-K83508485,FK-888,0.1708109373788292,0.16955956085625995,0.0012513765225692364,False
0034c0847,DOS039_A375_24H:BRD-K00765103-001-01-7:4.54,A375,BRD-K00765103,BRD-K00765103,0.14910932339184604,0.14757849273601226,0.001530830655833787,False
0060e686f,CPC008_A375_6H:BRD-K91913968-001-08-2:10,A375,BRD-K91913968,BRD-K91913968,0.14959227282713267,0.14028812400048166,0.00930414882665101,False
00898e82c,CPC014_NPC_24H:BRD-K71035033-001-01-4:10,NPC,BRD-K71035033,masitinib,0.17663427085812428,0.1603115189899961,0.016322751868128177,False
009a5da05,DOS048_A375_24H:BRD-K90305015-001-01-0:5.01,A375,BRD-K90305015,BRD-K90305015,0.16856897141586163,0.16430473836928025,0.004264233046581384,False
00d2de1d8,HDAC002_HA1E_24H:BRD-K10436544-001-01-0:0.078125,HA1E,BRD-K10436544,BRD-K10436544,0.15445130056169937,0.15148186313379508,0.0029694374279042868,False
00dba5599,CPD003_MCF7_6H:BRD-K49669424-075-15-0:10,MCF7,BRD-K49669424,bretylium,0.15893291350607483,0.15056128771970712,0.008371625786367715,False
014d175d7,CPC005_HA1E_6H:BRD-K46211610-003-15-0:10,HA1E,BRD-K46211610,tolazoline,0.16504274048578627,0.157613818810719,0.007428921675067257,False
015a48b37,CPC011_HA1E_6H:BRD-K66615216-003-09-8:10,HA1E,BRD-K66615216,moxifloxacin,0.1578636371038777,0.14532981226688751,0.012533824836990198,False
0166f205e,DOSBIO002_NEU_24H:BRD-K69295800:9.69533,NEU,BRD-K69295800,BRD-K69295800,0.16946604142195795,0.15325550968850354,0.01621053173345441,False
01872549f,BRAF001_A375_6H:BRD-K67578145-001-05-5:2.5,A375,BRD-K67578145,GDC-0879,0.176699529335915,0.15834389035415836,0.018355638981756656,False
018e6eb14,NMH001_NEU_6H:BRD-K25210139-001-01-3:10,NEU,BRD-K25210139,bietaserpine,0.18554756224643018,0.17542959446071765,0.010117967785712528,False
018fbfcdb,DOS046_MCF7_24H:BRD-K05639119-001-01-1:5,MCF7,BRD-K05639119,SA-1920013,0.16429859625397536,0.1607818303470352,0.003516765906940167,False
01af4c881,CPC010_A549_24H:BRD-K06217810-019-03-5:10,A549,BRD-K06217810,BRD-K06217810,0.15720226485002703,0.15508039881925798,0.002121866030769054,False
01b66f497,LJP002_MDAMB231_6H:BRD-K38113518-001-01-5:0.4,MDAMB231,BRD-K38113518,XMD-16144,0.16431356751869414,0.1505169389051282,0.013796628613565926,False
