drug_id,matched_broad_id,matched_pert_iname,matched_moa,match_score,second_score,margin,above_threshold,canonical_smiles,smiles_source
00199ff52,BRD-K59998349-003-01-4,aminolevulinic-acid-benzyl-ester,,0.3404443781422408,0.3370361881974674,0.0034081899447733,False,NCC(=O)CCC(=O)OCc1ccccc1,prism_treatment_info
00251fc41,BRD-K41876534-001-13-7,tioxolone,carbonic anhydrase inhibitor,0.3168786510971874,0.2832726122155912,0.0336060388815961,False,"Oc1ccc2sc(=O)oc2c1, Oc1ccc2sc(=O)oc2c1",prism_treatment_info
00321ea80,BRD-K97472745-001-01-8,gestrinone,progesterone receptor antagonist,0.4622497657683335,0.380300985686719,0.0819487800816144,False,CC[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C,prism_treatment_info
0034c0847,BRD-K87510569-001-02-8,RS-504393,CC chemokine receptor antagonist,0.3902182116060597,0.3462115674579202,0.0440066441481395,False,Cc1oc(nc1CCN1CCC2(CC1)OC(=O)Nc1ccc(C)cc21)-c1ccccc1,prism_treatment_info
0060e686f,BRD-K74065929-001-07-2,doramapimod,p38 MAPK inhibitor,0.4047388250636345,0.3715238165916368,0.0332150084719977,False,"Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C, Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C",prism_treatment_info
00898e82c,BRD-K70505054-003-12-4,ranitidine,histamine receptor antagonist,0.3690451907777328,0.3429546252741833,0.0260905655035494,False,"CN\C(NCCSCc1ccc(CN(C)C)o1)=C/[N+]([O-])=O, CN\C(NCCSCc1ccc(CN(C)C)o1)=C/[N+]([O-])=O, CN\C(NCCSCc1ccc(CN(C)C)o1)=C/[N+]([O-])=O, CN\C(NCCSCc1ccc(CN(C)C)o1)=C/[N+]([O-])=O",prism_treatment_info
009a5da05,BRD-A91822151-001-05-0,picrotin,GABA receptor antagonist,0.3448860100212868,0.3167382388364893,0.0281477711847975,False,CC(C)(O)C1C2OC(=O)C1C1(O)CC3OC33C(=O)OC2C13C,prism_treatment_info
00d2de1d8,BRD-K97440753-066-18-1,dihydroergocristine,"adrenergic receptor antagonist, prolactin inhibitor",0.4662242239597712,0.429936208661559,0.0362880152982122,False,"CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O, CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O",prism_treatment_info
00dba5599,BRD-A40413915-003-01-2,NTNCB,neuropeptide receptor antagonist,0.3435366935159067,0.3188636190986046,0.024673074417302,False,[O-][N+](=O)c1ccccc1S(=O)(=O)NC[C@H]1CC[C@H](CNCC2CCc3ccccc3C2)CC1,prism_treatment_info
014d175d7,BRD-K82677201-001-01-6,almitrine,neurotransmitter agonist,0.3692902884439046,0.3527434650793385,0.016546823364566,False,Fc1ccc(cc1)C(N1CCN(CC1)c1nc(NCC=C)nc(NCC=C)n1)c1ccc(F)cc1,prism_treatment_info
