smiles,max_tanimoto_to_seed,is_novel,max_tanimoto_scaffold
CCC=C=C1CN=CN(C2=C(Cl)C(Cl)=C2)N(C)OCCN1,0.1282051282051282,True,0.1356
[B-]1=CNC=NC=NC=CC=COC1,0.0983606557377049,True,0.082
CC1(Cl)C2=CNCN=C1C1=CC=[S-]C=C1N2NCC#[O+],0.1098901098901098,True,0.1017
C=CC(NCON)C(=CC=CC)N=CNC=CC=CCl,0.1159420289855072,True,0.1159
CCC1=C(Cl)C(Cl)=C=CN1N1N=C(NCCO)C2=CC1=C2,0.0957446808510638,True,0.0933
Cc1ccc(F)c(CNC2CCCC(O)C2)c1,0.1857142857142857,True,0.3235
CC(CNC=CN=CCF)OCCC=NC=CC=CCCNC1NN(CCO)Cc2ccccc21,0.1711711711711711,True,0.375
CCN1OCCNC=CC=CCN=CNC1C=CCl,0.1184210526315789,True,0.0943
OCCNC=NC(=NP1=C=CC=CC=1)Nc1ccc(Cl)c(Cl)c1,0.1285714285714285,True,0.1842
OCCNC1=NC(N=C[S-]=Nc2ccc(Cl)c(CCl)c2)C=[C+]O1,0.119047619047619,True,0.1739
CN(C)C(=O)c1cc2cccc(O)c2cc1O,0.3095238095238095,True,1.0
OCCNC=NC(=C=Nc1ccccc1)Nc1ccc(Cl)c(Cl)c1,0.1764705882352941,True,0.1944
C=C(Cl)CC=CC=CC#CCC(Cl)=CC(=C)Nc1nc(NCCO)c2ccccc2n1,0.1756756756756756,True,0.3333
Cc1ccccc1OCCSc1nc2ccc(NC(=O)c3cccs3)cc2s1,0.2105263157894736,True,0.2113
CCOC[C@@H](O)COc1ccc2ccc(=O)oc2c1,0.5416666666666666,False,1.0
COc1ccc(-c2nc(NC(=O)c3cc(OC)cc(OC)c3)sc2C)cc1,0.288135593220339,True,0.3143
COc1ccc(-n2ccnc2SCC(=O)Nc2ccccc2OC)cc1,0.2297297297297297,True,0.2093
CCOC(=O)c1cnc2c(C)cc(Cl)cc2c1Nc1ccc(C)cc1C,0.1714285714285714,True,0.2619
CCN1CCC(N2CCC(C(=O)NCCc3ccc(F)c(F)c3)CC2)CC1,0.16,True,0.2857
C=CC=CC1CCON2COC3CCCC=NCCOC13C2N1C=CC=C(Cl)C1Cl,0.1208791208791208,True,0.1667
C=[S+]1=CC(Cl)=C(CNOc2nc(PNCC)c3ccccc3n2)C1Cl,0.2028985507246377,True,0.2
ClC1=CCN(C2=NC=CCC=C=NC=CC=CN=CCCCCCNCCO2)CC1,0.1264367816091954,True,0.1343
COc1ccc(-n2ccnc2SCC(=O)Nc2ccc(C)cc2F)cc1,0.2054794520547945,True,0.2093
CCN1C=C(Cl)C(Cl)=C(N=CNCCO)CC2COC21,0.136986301369863,True,0.2333
Cc1ccc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)c(Cl)c1,0.2542372881355932,True,0.3542
NC1C=[B-]C2CC1=NCNc1ccc(Cl)c(Cl)c12,0.1285714285714285,True,0.2326
CC(N)C(=O)NCCOc1ccc(Cl)cc1Cl,0.2063492063492063,True,1.0
CCOC(=O)c1cnc2c(C)cc(Cl)cc2c1Nc1cccc(C(F)(F)F)c1,0.1866666666666666,True,0.2619
CCCC=CC=C1CNC(CO)C(N2C=C(Cl)C(Cl)=CC2)=NC2=C1CCC=N2,0.1463414634146341,True,0.1235
COc1ccc(CNC(C)C(O)c2ccccc2)cc1C,0.2711864406779661,True,0.3548
CC(C)(C(=O)O)c1cccc(NC(=O)c2cccs2)c1,0.180327868852459,True,0.2903
OCCNC=NC1=Nc2ccccc2NC=CC=C(Cl)C(Cl)=C1,0.1447368421052631,True,0.2222
ClC1=COCNC2=NCN(c3ccccc3)NC2=CC=C1,0.125,True,0.1569
O=C(O)COC(=O)C=Cc1ccc([N+](=O)[O-])cc1,0.3720930232558139,True,1.0
COc1ccc(CN2CCN(Cc3ccccc3)CC2)c(Cl)c1O,0.3157894736842105,True,0.3448
C=[S+]C=CC=c1nc(Nc2ccc(Cl)c(Cl)c2)nc(NCCO)c1=C,0.1428571428571428,True,0.25
C=CC=CC(=CC=C(Cl)CC#CN)CN=C(N)CCOc1ccccc1,0.2054794520547945,True,1.0
CC(C)=CCC/C(C)=C/C[NH2+]CCc1c[nH]c2ccccc12,0.5084745762711864,False,1.0
CCCNC(=O)CCCOc1ccc(Cl)cc1Cl,0.1875,True,1.0
CC1=C(CO)CC(N=C(Cl)Nc2ccc(Cl)cc2)C=C1,0.1630434782608695,True,0.1905
