Target,Mol_Index,Confidence,Category
6UKJ,175,-2.17,Low (<-1.5)
6UKJ,444,-1.19,Moderate (-1.5 to 0)
6UKJ,217,-1.45,Moderate (-1.5 to 0)
4GM2,256,-2.62,Low (<-1.5)
6UKJ,136,-1.44,Moderate (-1.5 to 0)
4GM2,157,-1.48,Moderate (-1.5 to 0)
7F3Y,330,-0.68,Moderate (-1.5 to 0)
6UKJ,148,-0.76,Moderate (-1.5 to 0)
4GM2,442,-1.5,Low (<-1.5)
9N10,137,-1.68,Low (<-1.5)
7F3Y,141,-0.73,Moderate (-1.5 to 0)
6UKJ,274,-0.58,Moderate (-1.5 to 0)
6UKJ,283,-1.31,Moderate (-1.5 to 0)
7F3Y,190,,Missing
7F3Y,386,-1.21,Moderate (-1.5 to 0)
9N10,74,-2.43,Low (<-1.5)
4GM2,412,-0.61,Moderate (-1.5 to 0)
7F3Y,179,-0.53,Moderate (-1.5 to 0)
4GM2,388,-1.85,Low (<-1.5)
6UKJ,0,-1.38,Moderate (-1.5 to 0)
4GM2,35,-0.69,Moderate (-1.5 to 0)
4GM2,206,-2.41,Low (<-1.5)
9N10,248,-2.09,Low (<-1.5)
4GM2,141,-2.09,Low (<-1.5)
6UKJ,133,-1.31,Moderate (-1.5 to 0)
4GM2,54,-1.63,Low (<-1.5)
7F3Y,295,-0.39,Moderate (-1.5 to 0)
9N10,27,-1.55,Low (<-1.5)
4GM2,418,-1.56,Low (<-1.5)
4GM2,207,-0.9,Moderate (-1.5 to 0)
4GM2,108,-1.15,Moderate (-1.5 to 0)
4GM2,104,-1.69,Low (<-1.5)
9N10,73,-1.41,Moderate (-1.5 to 0)
6UKJ,203,-1.59,Low (<-1.5)
6UKJ,342,-0.83,Moderate (-1.5 to 0)
4GM2,25,-0.98,Moderate (-1.5 to 0)
9N10,36,-4.0,Low (<-1.5)
9N10,76,-0.98,Moderate (-1.5 to 0)
4GM2,380,-1.58,Low (<-1.5)
6UKJ,40,-1.97,Low (<-1.5)
7F3Y,133,-0.88,Moderate (-1.5 to 0)
4GM2,461,-0.76,Moderate (-1.5 to 0)
7F3Y,132,-0.71,Moderate (-1.5 to 0)
4GM2,181,-0.66,Moderate (-1.5 to 0)
7F3Y,73,-0.69,Moderate (-1.5 to 0)
9N10,75,-2.39,Low (<-1.5)
7F3Y,185,-1.54,Low (<-1.5)
6UKJ,114,-0.45,Moderate (-1.5 to 0)
9N10,389,-2.56,Low (<-1.5)
6UKJ,69,-2.0,Low (<-1.5)
6UKJ,265,-0.78,Moderate (-1.5 to 0)
6UKJ,327,-0.89,Moderate (-1.5 to 0)
4GM2,95,-2.12,Low (<-1.5)
6UKJ,165,-1.53,Low (<-1.5)
9N10,110,-1.48,Moderate (-1.5 to 0)
9N10,422,-2.25,Low (<-1.5)
7F3Y,236,-1.26,Moderate (-1.5 to 0)
7F3Y,444,-0.52,Moderate (-1.5 to 0)
6UKJ,298,-0.73,Moderate (-1.5 to 0)
6UKJ,285,-1.35,Moderate (-1.5 to 0)
7F3Y,424,-1.43,Moderate (-1.5 to 0)
7F3Y,411,-0.18,Moderate (-1.5 to 0)
6UKJ,295,-0.82,Moderate (-1.5 to 0)
9N10,234,-1.58,Low (<-1.5)
7F3Y,327,-0.58,Moderate (-1.5 to 0)
6UKJ,16,-0.89,Moderate (-1.5 to 0)
4GM2,469,-1.84,Low (<-1.5)
7F3Y,9,-0.19,Moderate (-1.5 to 0)
9N10,423,-1.41,Moderate (-1.5 to 0)
6UKJ,4,-1.35,Moderate (-1.5 to 0)
9N10,205,-3.16,Low (<-1.5)
4GM2,331,-2.25,Low (<-1.5)
6UKJ,457,-0.69,Moderate (-1.5 to 0)
6UKJ,329,-1.41,Moderate (-1.5 to 0)
9N10,51,-1.48,Moderate (-1.5 to 0)
9N10,118,-2.64,Low (<-1.5)
6UKJ,221,,Missing
6UKJ,7,-1.49,Moderate (-1.5 to 0)
9N10,165,-2.99,Low (<-1.5)
6UKJ,1,-1.49,Moderate (-1.5 to 0)
9N10,238,-1.02,Moderate (-1.5 to 0)
7F3Y,312,-0.63,Moderate (-1.5 to 0)
9N10,164,-2.21,Low (<-1.5)
4GM2,293,-1.94,Low (<-1.5)
6UKJ,109,-2.18,Low (<-1.5)
6UKJ,116,-1.8,Low (<-1.5)
7F3Y,320,-0.68,Moderate (-1.5 to 0)
9N10,227,-1.28,Moderate (-1.5 to 0)
7F3Y,302,-1.26,Moderate (-1.5 to 0)
9N10,24,-1.7,Low (<-1.5)
6UKJ,332,,Missing
9N10,124,-0.94,Moderate (-1.5 to 0)
4GM2,179,-0.26,Moderate (-1.5 to 0)
4GM2,334,-1.18,Moderate (-1.5 to 0)
9N10,8,-1.59,Low (<-1.5)
7F3Y,167,-0.27,Moderate (-1.5 to 0)
4GM2,318,-1.17,Moderate (-1.5 to 0)
9N10,448,-2.66,Low (<-1.5)
4GM2,421,-1.88,Low (<-1.5)
6UKJ,105,-1.0,Moderate (-1.5 to 0)
6UKJ,87,-1.61,Low (<-1.5)
6UKJ,320,-0.74,Moderate (-1.5 to 0)
7F3Y,58,-1.37,Moderate (-1.5 to 0)
7F3Y,342,-0.86,Moderate (-1.5 to 0)
7F3Y,246,-0.51,Moderate (-1.5 to 0)
9N10,340,-1.6,Low (<-1.5)
9N10,14,-1.27,Moderate (-1.5 to 0)
4GM2,58,-0.74,Moderate (-1.5 to 0)
9N10,275,-0.66,Moderate (-1.5 to 0)
4GM2,83,-1.67,Low (<-1.5)
6UKJ,231,-0.83,Moderate (-1.5 to 0)
6UKJ,70,-1.68,Low (<-1.5)
6UKJ,117,-1.57,Low (<-1.5)
6UKJ,324,-0.67,Moderate (-1.5 to 0)
7F3Y,304,-1.41,Moderate (-1.5 to 0)
4GM2,338,-0.77,Moderate (-1.5 to 0)
6UKJ,417,-0.97,Moderate (-1.5 to 0)
9N10,373,-0.86,Moderate (-1.5 to 0)
4GM2,239,-1.95,Low (<-1.5)
9N10,261,-1.25,Moderate (-1.5 to 0)
7F3Y,78,-1.56,Low (<-1.5)
4GM2,433,-1.23,Moderate (-1.5 to 0)
7F3Y,458,-0.48,Moderate (-1.5 to 0)
9N10,330,-2.51,Low (<-1.5)
6UKJ,258,-0.79,Moderate (-1.5 to 0)
7F3Y,76,-0.61,Moderate (-1.5 to 0)
7F3Y,2,-1.1,Moderate (-1.5 to 0)
7F3Y,221,,Missing
9N10,159,-1.59,Low (<-1.5)
6UKJ,241,-1.24,Moderate (-1.5 to 0)
7F3Y,54,-1.06,Moderate (-1.5 to 0)
7F3Y,426,-1.11,Moderate (-1.5 to 0)
4GM2,463,-1.55,Low (<-1.5)
4GM2,222,-1.22,Moderate (-1.5 to 0)
9N10,437,-1.49,Moderate (-1.5 to 0)
9N10,67,-1.15,Moderate (-1.5 to 0)
7F3Y,231,-0.69,Moderate (-1.5 to 0)
4GM2,143,-1.08,Moderate (-1.5 to 0)
4GM2,247,-1.54,Low (<-1.5)
7F3Y,180,-1.05,Moderate (-1.5 to 0)
6UKJ,363,-1.28,Moderate (-1.5 to 0)
6UKJ,31,-1.6,Low (<-1.5)
6UKJ,196,-1.06,Moderate (-1.5 to 0)
9N10,302,-2.87,Low (<-1.5)
4GM2,407,-0.24,Moderate (-1.5 to 0)
9N10,149,-0.97,Moderate (-1.5 to 0)
9N10,445,-0.99,Moderate (-1.5 to 0)
4GM2,448,-1.09,Moderate (-1.5 to 0)
7F3Y,32,-1.68,Low (<-1.5)
4GM2,217,-0.46,Moderate (-1.5 to 0)
9N10,434,-2.79,Low (<-1.5)
9N10,166,-1.83,Low (<-1.5)
7F3Y,61,-1.13,Moderate (-1.5 to 0)
7F3Y,111,-0.85,Moderate (-1.5 to 0)
6UKJ,173,-1.52,Low (<-1.5)
7F3Y,213,-1.38,Moderate (-1.5 to 0)
9N10,148,-3.02,Low (<-1.5)
7F3Y,448,-1.4,Moderate (-1.5 to 0)
7F3Y,337,-0.63,Moderate (-1.5 to 0)
4GM2,1,-0.94,Moderate (-1.5 to 0)
6UKJ,358,-0.52,Moderate (-1.5 to 0)
4GM2,392,-1.49,Moderate (-1.5 to 0)
4GM2,434,-1.94,Low (<-1.5)
6UKJ,376,-1.56,Low (<-1.5)
6UKJ,460,-0.74,Moderate (-1.5 to 0)
9N10,198,-2.7,Low (<-1.5)
6UKJ,195,-1.69,Low (<-1.5)
6UKJ,184,-1.52,Low (<-1.5)
9N10,192,-2.52,Low (<-1.5)
7F3Y,371,-1.22,Moderate (-1.5 to 0)
7F3Y,291,-0.45,Moderate (-1.5 to 0)
7F3Y,67,-1.05,Moderate (-1.5 to 0)
7F3Y,378,-0.19,Moderate (-1.5 to 0)
7F3Y,402,,Missing
6UKJ,202,-1.37,Moderate (-1.5 to 0)
6UKJ,85,-1.53,Low (<-1.5)
9N10,235,-0.95,Moderate (-1.5 to 0)
4GM2,332,,Missing
7F3Y,49,-1.16,Moderate (-1.5 to 0)
9N10,247,-1.3,Moderate (-1.5 to 0)
7F3Y,55,-0.69,Moderate (-1.5 to 0)
4GM2,350,-2.72,Low (<-1.5)
4GM2,424,-1.46,Moderate (-1.5 to 0)
9N10,374,-2.47,Low (<-1.5)
4GM2,173,-1.85,Low (<-1.5)
7F3Y,3,-0.66,Moderate (-1.5 to 0)
6UKJ,311,-2.02,Low (<-1.5)
6UKJ,343,-0.94,Moderate (-1.5 to 0)
6UKJ,143,-1.98,Low (<-1.5)
9N10,362,-1.83,Low (<-1.5)
9N10,115,-3.08,Low (<-1.5)
9N10,140,-1.86,Low (<-1.5)
4GM2,114,-1.18,Moderate (-1.5 to 0)
6UKJ,236,-1.38,Moderate (-1.5 to 0)
4GM2,379,-2.19,Low (<-1.5)
4GM2,86,-1.34,Moderate (-1.5 to 0)
9N10,239,-2.1,Low (<-1.5)
6UKJ,135,-0.55,Moderate (-1.5 to 0)
9N10,167,-1.99,Low (<-1.5)
9N10,255,-2.43,Low (<-1.5)
6UKJ,142,-0.32,Moderate (-1.5 to 0)
7F3Y,343,-1.48,Moderate (-1.5 to 0)
7F3Y,151,-0.34,Moderate (-1.5 to 0)
7F3Y,138,-1.69,Low (<-1.5)
7F3Y,40,-0.84,Moderate (-1.5 to 0)
9N10,201,-1.88,Low (<-1.5)
9N10,150,-2.56,Low (<-1.5)
6UKJ,309,-1.93,Low (<-1.5)
4GM2,253,-1.77,Low (<-1.5)
6UKJ,252,-0.7,Moderate (-1.5 to 0)
9N10,451,-1.3,Moderate (-1.5 to 0)
7F3Y,435,-0.81,Moderate (-1.5 to 0)
4GM2,56,-1.42,Moderate (-1.5 to 0)
7F3Y,165,-0.42,Moderate (-1.5 to 0)
4GM2,328,-1.05,Moderate (-1.5 to 0)
4GM2,447,-1.69,Low (<-1.5)
7F3Y,362,-0.95,Moderate (-1.5 to 0)
4GM2,4,-1.24,Moderate (-1.5 to 0)
7F3Y,277,-1.46,Moderate (-1.5 to 0)
6UKJ,328,-1.75,Low (<-1.5)
4GM2,271,-0.53,Moderate (-1.5 to 0)
4GM2,456,-1.44,Moderate (-1.5 to 0)
4GM2,423,-1.79,Low (<-1.5)
4GM2,193,-0.94,Moderate (-1.5 to 0)
4GM2,70,-1.32,Moderate (-1.5 to 0)
9N10,223,-2.29,Low (<-1.5)
4GM2,44,-0.9,Moderate (-1.5 to 0)
4GM2,453,-0.49,Moderate (-1.5 to 0)
9N10,47,-1.38,Moderate (-1.5 to 0)
9N10,447,-1.58,Low (<-1.5)
4GM2,440,-1.88,Low (<-1.5)
7F3Y,399,-1.69,Low (<-1.5)
9N10,475,-1.83,Low (<-1.5)
6UKJ,237,-0.75,Moderate (-1.5 to 0)
4GM2,262,-0.55,Moderate (-1.5 to 0)
6UKJ,91,-1.83,Low (<-1.5)
7F3Y,244,-0.58,Moderate (-1.5 to 0)
7F3Y,438,-0.6,Moderate (-1.5 to 0)
7F3Y,410,-1.14,Moderate (-1.5 to 0)
6UKJ,335,-1.25,Moderate (-1.5 to 0)
4GM2,140,,Missing
4GM2,178,-2.08,Low (<-1.5)
4GM2,403,-1.18,Moderate (-1.5 to 0)
9N10,23,-1.02,Moderate (-1.5 to 0)
7F3Y,299,-2.11,Low (<-1.5)
7F3Y,101,-1.19,Moderate (-1.5 to 0)
6UKJ,244,-1.69,Low (<-1.5)
9N10,361,-2.42,Low (<-1.5)
4GM2,393,-1.11,Moderate (-1.5 to 0)
4GM2,454,-1.05,Moderate (-1.5 to 0)
4GM2,296,-2.24,Low (<-1.5)
4GM2,120,-1.87,Low (<-1.5)
6UKJ,446,-0.64,Moderate (-1.5 to 0)
6UKJ,64,-1.56,Low (<-1.5)
6UKJ,277,-2.06,Low (<-1.5)
6UKJ,172,-0.96,Moderate (-1.5 to 0)
4GM2,32,-1.46,Moderate (-1.5 to 0)
7F3Y,260,-0.81,Moderate (-1.5 to 0)
7F3Y,414,-0.99,Moderate (-1.5 to 0)
9N10,181,-3.22,Low (<-1.5)
7F3Y,275,-1.59,Low (<-1.5)
4GM2,199,-1.35,Moderate (-1.5 to 0)
9N10,209,-1.29,Moderate (-1.5 to 0)
9N10,278,-2.74,Low (<-1.5)
6UKJ,445,-1.56,Low (<-1.5)
6UKJ,53,-1.15,Moderate (-1.5 to 0)
6UKJ,187,-2.05,Low (<-1.5)
9N10,160,-3.83,Low (<-1.5)
6UKJ,346,-1.46,Moderate (-1.5 to 0)
7F3Y,97,-0.36,Moderate (-1.5 to 0)
7F3Y,43,,Missing
6UKJ,25,-1.29,Moderate (-1.5 to 0)
4GM2,161,-3.15,Low (<-1.5)
7F3Y,90,-0.9,Moderate (-1.5 to 0)
4GM2,327,-1.54,Low (<-1.5)
9N10,433,-1.11,Moderate (-1.5 to 0)
9N10,219,-1.7,Low (<-1.5)
6UKJ,267,-1.44,Moderate (-1.5 to 0)
9N10,405,-1.69,Low (<-1.5)
9N10,299,-0.76,Moderate (-1.5 to 0)
9N10,289,-1.83,Low (<-1.5)
6UKJ,256,-1.33,Moderate (-1.5 to 0)
9N10,353,-0.02,Moderate (-1.5 to 0)
9N10,377,-3.06,Low (<-1.5)
4GM2,468,-1.71,Low (<-1.5)
7F3Y,272,-1.9,Low (<-1.5)
9N10,69,-0.78,Moderate (-1.5 to 0)
7F3Y,70,-1.25,Moderate (-1.5 to 0)
6UKJ,240,-1.43,Moderate (-1.5 to 0)
7F3Y,219,-1.22,Moderate (-1.5 to 0)
9N10,180,-0.66,Moderate (-1.5 to 0)
9N10,213,-1.69,Low (<-1.5)
9N10,221,,Missing
6UKJ,296,-1.73,Low (<-1.5)
9N10,215,-3.35,Low (<-1.5)
6UKJ,271,-1.29,Moderate (-1.5 to 0)
4GM2,263,-2.04,Low (<-1.5)
9N10,288,-1.51,Low (<-1.5)
6UKJ,134,-1.16,Moderate (-1.5 to 0)
4GM2,191,-1.62,Low (<-1.5)
9N10,342,-1.98,Low (<-1.5)
6UKJ,436,-1.8,Low (<-1.5)
9N10,6,-1.13,Moderate (-1.5 to 0)
9N10,188,-3.18,Low (<-1.5)
4GM2,389,-1.82,Low (<-1.5)
7F3Y,326,-0.57,Moderate (-1.5 to 0)
9N10,286,-1.74,Low (<-1.5)
7F3Y,106,-1.69,Low (<-1.5)
9N10,29,-1.22,Moderate (-1.5 to 0)
6UKJ,84,-3.04,Low (<-1.5)
9N10,462,-2.29,Low (<-1.5)
9N10,414,-1.91,Low (<-1.5)
6UKJ,100,-1.48,Moderate (-1.5 to 0)
7F3Y,433,-1.61,Low (<-1.5)
4GM2,74,-0.91,Moderate (-1.5 to 0)
4GM2,7,-1.97,Low (<-1.5)
6UKJ,79,-1.23,Moderate (-1.5 to 0)
9N10,83,-1.76,Low (<-1.5)
7F3Y,270,-0.74,Moderate (-1.5 to 0)
4GM2,361,-2.38,Low (<-1.5)
4GM2,166,-0.83,Moderate (-1.5 to 0)
7F3Y,361,-1.11,Moderate (-1.5 to 0)
7F3Y,416,-0.57,Moderate (-1.5 to 0)
7F3Y,415,-1.68,Low (<-1.5)
9N10,119,-1.69,Low (<-1.5)
9N10,331,-2.49,Low (<-1.5)
9N10,395,-0.15,Moderate (-1.5 to 0)
9N10,425,-1.84,Low (<-1.5)
4GM2,466,-3.2,Low (<-1.5)
4GM2,387,-2.1,Low (<-1.5)
9N10,117,-3.3,Low (<-1.5)
9N10,131,-1.02,Moderate (-1.5 to 0)
4GM2,241,-2.68,Low (<-1.5)
9N10,329,-2.14,Low (<-1.5)
7F3Y,127,-1.28,Moderate (-1.5 to 0)
9N10,282,-3.05,Low (<-1.5)
4GM2,315,-2.33,Low (<-1.5)
9N10,338,-1.34,Moderate (-1.5 to 0)
4GM2,367,-0.54,Moderate (-1.5 to 0)
9N10,40,-0.78,Moderate (-1.5 to 0)
7F3Y,256,-0.87,Moderate (-1.5 to 0)
6UKJ,211,-1.25,Moderate (-1.5 to 0)
7F3Y,48,-1.28,Moderate (-1.5 to 0)
9N10,463,-3.38,Low (<-1.5)
9N10,279,-1.33,Moderate (-1.5 to 0)
6UKJ,51,-1.15,Moderate (-1.5 to 0)
9N10,3,-1.42,Moderate (-1.5 to 0)
4GM2,401,-2.13,Low (<-1.5)
6UKJ,213,-1.16,Moderate (-1.5 to 0)
6UKJ,409,-0.6,Moderate (-1.5 to 0)
6UKJ,74,-1.44,Moderate (-1.5 to 0)
7F3Y,322,-0.55,Moderate (-1.5 to 0)
9N10,298,-2.0,Low (<-1.5)
9N10,100,-1.93,Low (<-1.5)
4GM2,171,-1.61,Low (<-1.5)
7F3Y,341,-0.69,Moderate (-1.5 to 0)
4GM2,410,-0.52,Moderate (-1.5 to 0)
4GM2,272,-1.95,Low (<-1.5)
6UKJ,331,-1.34,Moderate (-1.5 to 0)
6UKJ,452,-1.1,Moderate (-1.5 to 0)
6UKJ,367,-0.75,Moderate (-1.5 to 0)
7F3Y,209,-0.8,Moderate (-1.5 to 0)
7F3Y,268,-1.05,Moderate (-1.5 to 0)
4GM2,64,-1.13,Moderate (-1.5 to 0)
7F3Y,466,-1.15,Moderate (-1.5 to 0)
4GM2,298,-1.92,Low (<-1.5)
6UKJ,368,-1.58,Low (<-1.5)
4GM2,126,-0.8,Moderate (-1.5 to 0)
4GM2,397,-1.51,Low (<-1.5)
9N10,237,-0.95,Moderate (-1.5 to 0)
7F3Y,10,-2.01,Low (<-1.5)
4GM2,169,-1.42,Moderate (-1.5 to 0)
9N10,428,-1.8,Low (<-1.5)
9N10,0,-1.7,Low (<-1.5)
4GM2,117,-2.14,Low (<-1.5)
7F3Y,289,-1.62,Low (<-1.5)
6UKJ,448,-1.65,Low (<-1.5)
7F3Y,124,-1.52,Low (<-1.5)
4GM2,251,-1.25,Moderate (-1.5 to 0)
7F3Y,459,-0.28,Moderate (-1.5 to 0)
9N10,54,-2.07,Low (<-1.5)
6UKJ,408,-0.55,Moderate (-1.5 to 0)
7F3Y,252,-0.66,Moderate (-1.5 to 0)
7F3Y,94,-0.98,Moderate (-1.5 to 0)
9N10,293,-2.34,Low (<-1.5)
7F3Y,440,-0.23,Moderate (-1.5 to 0)
6UKJ,263,-1.99,Low (<-1.5)
4GM2,382,-0.98,Moderate (-1.5 to 0)
7F3Y,34,-1.22,Moderate (-1.5 to 0)
6UKJ,261,-1.01,Moderate (-1.5 to 0)
9N10,292,-1.55,Low (<-1.5)
9N10,393,-1.43,Moderate (-1.5 to 0)
7F3Y,462,-1.38,Moderate (-1.5 to 0)
6UKJ,423,-1.38,Moderate (-1.5 to 0)
9N10,413,-3.58,Low (<-1.5)
4GM2,22,-1.21,Moderate (-1.5 to 0)
7F3Y,51,-1.05,Moderate (-1.5 to 0)
9N10,183,-1.0,Moderate (-1.5 to 0)
6UKJ,44,-1.74,Low (<-1.5)
6UKJ,207,-1.79,Low (<-1.5)
4GM2,425,-1.58,Low (<-1.5)
9N10,151,-0.02,Moderate (-1.5 to 0)
4GM2,223,-0.15,Moderate (-1.5 to 0)
6UKJ,351,-0.77,Moderate (-1.5 to 0)
6UKJ,153,-1.23,Moderate (-1.5 to 0)
7F3Y,285,-1.01,Moderate (-1.5 to 0)
4GM2,139,-1.93,Low (<-1.5)
7F3Y,226,-0.54,Moderate (-1.5 to 0)
6UKJ,151,-0.23,Moderate (-1.5 to 0)
7F3Y,293,-0.88,Moderate (-1.5 to 0)
9N10,228,-1.32,Moderate (-1.5 to 0)
7F3Y,475,-1.9,Low (<-1.5)
6UKJ,17,-1.92,Low (<-1.5)
4GM2,174,-2.09,Low (<-1.5)
9N10,326,-3.12,Low (<-1.5)
7F3Y,74,-1.51,Low (<-1.5)
6UKJ,280,-1.04,Moderate (-1.5 to 0)
4GM2,282,-1.63,Low (<-1.5)
6UKJ,86,-1.39,Moderate (-1.5 to 0)
4GM2,249,-1.58,Low (<-1.5)
4GM2,176,-2.86,Low (<-1.5)
6UKJ,106,-0.88,Moderate (-1.5 to 0)
6UKJ,447,-1.59,Low (<-1.5)
6UKJ,164,-1.47,Moderate (-1.5 to 0)
4GM2,155,-1.17,Moderate (-1.5 to 0)
4GM2,105,-1.57,Low (<-1.5)
9N10,439,-1.39,Moderate (-1.5 to 0)
7F3Y,306,-0.2,Moderate (-1.5 to 0)
4GM2,362,-0.85,Moderate (-1.5 to 0)
4GM2,113,-0.59,Moderate (-1.5 to 0)
6UKJ,147,-1.92,Low (<-1.5)
9N10,233,-1.77,Low (<-1.5)
4GM2,446,-1.31,Moderate (-1.5 to 0)
9N10,464,-1.07,Moderate (-1.5 to 0)
4GM2,363,-1.89,Low (<-1.5)
4GM2,426,-1.27,Moderate (-1.5 to 0)
6UKJ,63,-1.67,Low (<-1.5)
4GM2,92,-1.76,Low (<-1.5)
7F3Y,118,-0.63,Moderate (-1.5 to 0)
9N10,141,-1.26,Moderate (-1.5 to 0)
6UKJ,464,-1.06,Moderate (-1.5 to 0)
4GM2,245,-0.77,Moderate (-1.5 to 0)
9N10,81,-1.86,Low (<-1.5)
7F3Y,45,-0.41,Moderate (-1.5 to 0)
4GM2,228,-1.4,Moderate (-1.5 to 0)
7F3Y,198,-0.9,Moderate (-1.5 to 0)
7F3Y,258,-0.82,Moderate (-1.5 to 0)
6UKJ,23,-1.85,Low (<-1.5)
6UKJ,373,-1.67,Low (<-1.5)
4GM2,355,-1.27,Moderate (-1.5 to 0)
7F3Y,421,-1.11,Moderate (-1.5 to 0)
4GM2,128,-1.44,Moderate (-1.5 to 0)
9N10,185,-2.0,Low (<-1.5)
7F3Y,413,-0.32,Moderate (-1.5 to 0)
7F3Y,340,-1.57,Low (<-1.5)
9N10,68,-1.97,Low (<-1.5)
6UKJ,176,-1.21,Moderate (-1.5 to 0)
4GM2,209,-1.31,Moderate (-1.5 to 0)
9N10,79,-1.2,Moderate (-1.5 to 0)
9N10,130,-3.68,Low (<-1.5)
6UKJ,251,-1.4,Moderate (-1.5 to 0)
7F3Y,452,-0.59,Moderate (-1.5 to 0)
7F3Y,406,-0.67,Moderate (-1.5 to 0)
7F3Y,247,-1.71,Low (<-1.5)
6UKJ,81,-1.45,Moderate (-1.5 to 0)
7F3Y,80,-1.18,Moderate (-1.5 to 0)
4GM2,134,-1.15,Moderate (-1.5 to 0)
4GM2,266,-1.42,Moderate (-1.5 to 0)
4GM2,185,-1.49,Moderate (-1.5 to 0)
6UKJ,292,-1.51,Low (<-1.5)
4GM2,156,-1.11,Moderate (-1.5 to 0)
7F3Y,139,-0.59,Moderate (-1.5 to 0)
4GM2,308,-0.82,Moderate (-1.5 to 0)
9N10,125,-3.97,Low (<-1.5)
4GM2,258,-1.0,Moderate (-1.5 to 0)
7F3Y,100,-1.2,Moderate (-1.5 to 0)
9N10,459,-3.14,Low (<-1.5)
9N10,193,-3.23,Low (<-1.5)
9N10,203,-1.23,Moderate (-1.5 to 0)
6UKJ,21,-1.41,Moderate (-1.5 to 0)
9N10,236,-1.76,Low (<-1.5)
9N10,49,-2.06,Low (<-1.5)
7F3Y,135,-0.67,Moderate (-1.5 to 0)
7F3Y,358,-0.59,Moderate (-1.5 to 0)
7F3Y,269,-0.5,Moderate (-1.5 to 0)
6UKJ,49,-2.24,Low (<-1.5)
4GM2,244,-1.43,Moderate (-1.5 to 0)
7F3Y,370,-0.79,Moderate (-1.5 to 0)
7F3Y,19,-1.29,Moderate (-1.5 to 0)
4GM2,133,-1.32,Moderate (-1.5 to 0)
6UKJ,161,-0.86,Moderate (-1.5 to 0)
4GM2,23,-1.14,Moderate (-1.5 to 0)
7F3Y,241,-1.81,Low (<-1.5)
