candidate_id,target,dG_WT_kcal_mol,RRS_N51I,RRS_C59R,RRS_S108N,RRS_I164L,RRS_mean,RRS_class,RRS_K76T,RRS_K76A
PP-12,PfCRT,-6.221,,,,,104.1,A,103.7,104.4
PP-10,PfCRT,-7.628,,,,,100.4,A*,100.7,100.2
PP-02,PfCRT,-7.282,,,,,100.3,A*,100.2,100.4
PP-08,PfCRT,-5.715,,,,,100.3,A,100.1,100.5
PP-05,PfCRT,-8.403,,,,,100.2,A*,100.1,100.3
PP-01,PfCRT,-8.256,,,,,100.1,A*,100.1,100.0
PP-16,PfCRT,-7.058,,,,,100.1,A*,100.2,100.1
PP-03,PfCRT,-8.636,,,,,100.0,A*,100.0,99.9
PP-04,PfCRT,-6.66,,,,,100.0,A,100.2,99.7
PP-06,PfCRT,-8.005,,,,,100.0,A*,100.1,99.9
PP-07,PfCRT,-7.705,,,,,100.0,A*,100.3,99.7
PP-13,PfCRT,-7.811,,,,,100.0,A*,100.1,100.0
PP-14,PfCRT,-5.881,,,,,99.9,A,99.7,100.0
PP-09,PfCRT,-7.038,,,,,99.8,A*,100.1,99.6
PP-15,PfCRT,-8.355,,,,,99.7,A*,99.6,99.9
PP-17,PfCRT,-5.818,,,,,99.7,A,99.7,99.7
PP-11,PfCRT,-8.477,,,,,99.3,A*,98.8,99.8
PP-07,PfDHFR,-7.063,100.7,99.9,102.1,103.8,101.6,A*,,
PP-12,PfDHFR,-6.384,100.0,99.8,100.2,102.6,100.7,A,,
PP-06,PfDHFR,-8.813,100.1,100.2,99.4,102.4,100.5,A*,,
PP-14,PfDHFR,-5.949,100.1,100.0,101.4,100.6,100.5,A,,
PP-01,PfDHFR,-7.883,100.0,100.0,100.8,98.8,99.9,A*,,
PP-11,PfDHFR,-7.943,99.9,99.8,101.2,97.8,99.7,A*,,
PP-03,PfDHFR,-9.264,99.9,100.1,99.7,98.0,99.4,A*,,
PP-15,PfDHFR,-8.002,99.9,99.8,99.5,98.2,99.4,A*,,
PP-16,PfDHFR,-7.495,100.0,100.1,99.2,98.2,99.4,A*,,
PP-04,PfDHFR,-6.758,100.5,100.1,98.7,97.4,99.2,A,,
PP-10,PfDHFR,-7.391,100.1,100.0,99.6,97.0,99.2,A*,,
PP-13,PfDHFR,-8.412,99.7,99.9,99.1,97.9,99.2,A*,,
PP-05,PfDHFR,-8.002,99.6,99.6,99.6,97.5,99.1,A*,,
PP-02,PfDHFR,-8.315,100.0,99.9,98.3,97.4,98.9,A*,,
PP-17,PfDHFR,-5.92,99.6,100.2,98.1,97.1,98.8,A,,
PP-09,PfDHFR,-7.226,100.0,99.7,99.7,94.8,98.6,A*,,
PP-08,PfDHFR,-6.29,100.2,100.2,98.6,94.5,98.4,A,,
