smiles,max_tanimoto_to_seed,unreachable
CCC=C=C1CN=CN(C2=C(Cl)C(Cl)=C2)N(C)OCCN1,0.1282051282051282,1
[B-]1=CNC=NC=NC=CC=COC1,0.09836065573770492,1
CC1(Cl)C2=CNCN=C1C1=CC=[S-]C=C1N2NCC#[O+],0.10989010989010989,1
C=CC(NCON)C(=CC=CC)N=CNC=CC=CCl,0.11594202898550725,1
CCC1=C(Cl)C(Cl)=C=CN1N1N=C(NCCO)C2=CC1=C2,0.09574468085106383,1
Cc1ccc(F)c(CNC2CCCC(O)C2)c1,0.18571428571428572,1
CC(CNC=CN=CCF)OCCC=NC=CC=CCCNC1NN(CCO)Cc2ccccc21,0.17117117117117117,1
CCN1OCCNC=CC=CCN=CNC1C=CCl,0.11842105263157894,1
OCCNC=NC(=NP1=C=CC=CC=1)Nc1ccc(Cl)c(Cl)c1,0.12857142857142856,1
OCCNC1=NC(N=C[S-]=Nc2ccc(Cl)c(CCl)c2)C=[C+]O1,0.11904761904761904,1
CN(C)C(=O)c1cc2cccc(O)c2cc1O,0.30952380952380953,1
OCCNC=NC(=C=Nc1ccccc1)Nc1ccc(Cl)c(Cl)c1,0.17647058823529413,1
C=C(Cl)CC=CC=CC#CCC(Cl)=CC(=C)Nc1nc(NCCO)c2ccccc2n1,0.17567567567567569,1
Cc1ccccc1OCCSc1nc2ccc(NC(=O)c3cccs3)cc2s1,0.21052631578947367,1
CCOC[C@@H](O)COc1ccc2ccc(=O)oc2c1,0.5416666666666666,0
COc1ccc(-c2nc(NC(=O)c3cc(OC)cc(OC)c3)sc2C)cc1,0.288135593220339,1
COc1ccc(-n2ccnc2SCC(=O)Nc2ccccc2OC)cc1,0.22972972972972974,1
CCOC(=O)c1cnc2c(C)cc(Cl)cc2c1Nc1ccc(C)cc1C,0.17142857142857143,1
CCN1CCC(N2CCC(C(=O)NCCc3ccc(F)c(F)c3)CC2)CC1,0.16,1
C=CC=CC1CCON2COC3CCCC=NCCOC13C2N1C=CC=C(Cl)C1Cl,0.12087912087912088,1
C=[S+]1=CC(Cl)=C(CNOc2nc(PNCC)c3ccccc3n2)C1Cl,0.2028985507246377,1
ClC1=CCN(C2=NC=CCC=C=NC=CC=CN=CCCCCCNCCO2)CC1,0.12643678160919541,1
COc1ccc(-n2ccnc2SCC(=O)Nc2ccc(C)cc2F)cc1,0.2054794520547945,1
CCN1C=C(Cl)C(Cl)=C(N=CNCCO)CC2COC21,0.136986301369863,1
Cc1ccc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)c(Cl)c1,0.2542372881355932,1
NC1C=[B-]C2CC1=NCNc1ccc(Cl)c(Cl)c12,0.12857142857142856,1
CC(N)C(=O)NCCOc1ccc(Cl)cc1Cl,0.20634920634920634,1
CCOC(=O)c1cnc2c(C)cc(Cl)cc2c1Nc1cccc(C(F)(F)F)c1,0.18666666666666668,1
CCCC=CC=C1CNC(CO)C(N2C=C(Cl)C(Cl)=CC2)=NC2=C1CCC=N2,0.14634146341463414,1
COc1ccc(CNC(C)C(O)c2ccccc2)cc1C,0.2711864406779661,1
CC(C)(C(=O)O)c1cccc(NC(=O)c2cccs2)c1,0.18032786885245902,1
OCCNC=NC1=Nc2ccccc2NC=CC=C(Cl)C(Cl)=C1,0.14473684210526316,1
ClC1=COCNC2=NCN(c3ccccc3)NC2=CC=C1,0.125,1
O=C(O)COC(=O)C=Cc1ccc([N+](=O)[O-])cc1,0.37209302325581395,1
COc1ccc(CN2CCN(Cc3ccccc3)CC2)c(Cl)c1O,0.3157894736842105,1
C=[S+]C=CC=c1nc(Nc2ccc(Cl)c(Cl)c2)nc(NCCO)c1=C,0.14285714285714285,1
C=CC=CC(=CC=C(Cl)CC#CN)CN=C(N)CCOc1ccccc1,0.2054794520547945,1
CC(C)=CCC/C(C)=C/C[NH2+]CCc1c[nH]c2ccccc12,0.5084745762711864,0
