factor,level,mean_reward,std_reward,n
ScafVAE,False,0.6301320307494132,0.08096688960341719,80
ScafVAE,True,0.7778178827795342,0.08965379570569752,80
Pareto,False,0.6498299945266792,0.09677441041860055,80
Pareto,True,0.758119919002268,0.10165717237098038,80
c_PUCT,1.0,0.7312303820024493,0.10380553578988096,80
c_PUCT,2.0,0.676719531526498,0.11557217891772809,80
Temperature,0.5,0.7101903033895838,0.10444978180659159,80
Temperature,1.5,0.6977596101393633,0.12103323829459015,80
Vocab,Large,0.7432858954898132,0.10717756319653986,80
Vocab,Small,0.6646640180391341,0.10497708371356582,80
